novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context
Jazz (1992),Solomon,140,147,character_reference,0.85,Solomon,ORRISON The Bluest Eye (1970) Sula (1974) Song of Solomon (1977) Tar Baby (1981) Beloved (1987) Playing in
Jazz (1992),mark,1378,1382,thematic_reference,0.9,Mark,me contrasts between thick and thin elements that mark most modern faces and attempts to give a feeling
Jazz (1992),hope,17288,17292,thematic_reference,0.8,Hope,"wife's side, then the face stares at him without hope or regret and it is the absence of accusation tha"
Jazz (1992),job,30921,30924,thematic_reference,0.9,Job,"which I better get to before I lose this no-count job. O Jesus."" She sighed heavily. ""Leave a note, why"
Jazz (1992),Jesus,30928,30933,character_reference,0.7,Jesus,"better get to before I lose this no-count job. O Jesus."" She sighed heavily. ""Leave a note, why don't yo"
Jazz (1992),hope,33164,33168,thematic_reference,0.8,Hope,"man's voice brought tears to the girl's eyes. ""I hope your mama tears you up and down."" Opinions, decis"
Jazz (1992),job,67504,67507,thematic_reference,0.9,Job,"get to be a lawyer she would end up with an apron job. So she added a note in her own hand, saying, “I"
Jazz (1992),job,68014,68017,thematic_reference,0.9,Job,"her-money of so little help she was giving up her job, picking up the children and return- ing to Barba"
Jazz (1992),job,88264,88267,thematic_reference,0.9,Job,"ince before the War. Nor did he need a whiteman's job-he owned a pool hall. As a matter of fact, he was"
Jazz (1992),Psalms,96721,96727,thematic_reference,0.9,Psalms,"iches to eat; the one-armed one, Neola, read them Psalms. The strict discipline was occasionally lightened"
Jazz (1992),hope,99077,99081,thematic_reference,0.8,Hope,thing to do or worth doing except to lie down and hope when you are naked she won't laugh at you. Or tha
Jazz (1992),job,108464,108467,thematic_reference,0.9,Job,"t up, unless, of course, he wanted to come on her job... Joe had decided he would wait till next Saturd"
Jazz (1992),numbers,120140,120147,thematic_reference,0.9,Numbers,"n the leaf, the tongue, the tail? A mask, flight, numbers in the millions producing numbers in the millions"
Jazz (1992),numbers,120174,120181,thematic_reference,0.9,Numbers,"A mask, flight, numbers in the millions producing numbers in the millions? A thorn here, a spike there. 75"
Jazz (1992),lot,130735,130738,character_reference,0.7,Lot,"there?"" ""I just told you it was.” ""She give you a lot of trouble?"" ""No. None. Well. Some."" ""I was a goo"
Jazz (1992),acts,138273,138277,thematic_reference,0.9,Acts,"s, slashed shoes, ripped socks. Vicious, childish acts of violence to inconvenience him, remind him. But"
Jazz (1992),Jesus,144344,144349,character_reference,0.85,Jesus,"le trying to explain to these same women or even, Jesus! the men, the fathers and uncles, and grown cousi"
Jazz (1992),job,144558,144561,thematic_reference,0.9,Job,ed coat make fools of them and ruin the honorable job they had worn white gloves for. They had to wrest
Jazz (1992),Jordan,149463,149469,character_reference,0.85,Jordan,"stful of it the sonofabitch. And when ""Wings Over Jordan"" came on he probably turned the volume down so he"
Jazz (1992),job,157670,157673,thematic_reference,0.9,Job,"rue Belle, came when she heard. Left her cushiony job in Baltimore and, with ten eagle dollars stitched"
Jazz (1992),hope,159562,159566,thematic_reference,0.8,Hope,"likelihood that he was still alive grew fainter, hope never did. Anytime anytime, on another brittle co"
Jazz (1992),resurrection,160826,160838,thematic_reference,0.8,Resurrection,"ever blotted out Rose. In the midst of the joyful resurrection of this phantom father, taking pleasure in the di"
Jazz (1992),hope,161925,161929,thematic_reference,0.8,Hope,"ng after the night when craving (which used to be hope) got out of hand? When longing squeezed, then tos"
Jazz (1992),hope,166354,166358,thematic_reference,0.8,Hope,"led me."" ""Might still, if my arm ain't broke."" ""I hope it is. You won't be picking nothing in the mornin"
Jazz (1992),Joseph,167564,167570,character_reference,0.85,Joseph,"g twisted into water much too small. His name was Joseph, and even before the sun rose, when 105 it was st"
Jazz (1992),faith,168924,168929,thematic_reference,0.8,Faith,"the vicinity hunting work. The straw boss had no faith in her, having watched her sweating hard to fill"
Jazz (1992),john,190633,190637,thematic_reference,0.9,John,"t, swear I'd been fixed and tell me how much high john I need to remedy myself. Neither one of them I'd"
Jazz (1992),Joseph,194359,194365,character_reference,0.85,Joseph,"s his name. Victory Williams. Mrs. Rhoda named me Joseph after her father, but neither she nor Mr. Frank e"
Jazz (1992),Joseph,194992,194998,character_reference,0.85,Joseph,chool I had to have two names. I told the teacher Joseph Trace. Victory turned his whole self around in th
