novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context,assigned_annotator,data_type
Song of Solomon (1977),Matthew,385381,385388,thematic_reference,0.9,Matthew,"rd hath brought together, let no man put asunder- Matthew Twenty-one: Two. We was bony fide and legal wed,",annotator_2,overlap
Tar Baby (1981),Gideon,188504,188510,character_reference,0.7,Gideon,"he door, man,"" she complained. ""Too hot in here."" Gideon stood fast. ""Listen,"" he said. ""He's in the house",annotator_2,unique
Beloved (1987),Paul,36382,36386,character_reference,0.85,Paul,"in it as by the certainty of giving her his sex, Paul D dropped twenty-five years from his recent memor",annotator_2,overlap
Song of Solomon (1977),charity,3831,3838,thematic_reference,0.8,Charity,"Not Doctor Street, and were inclined to call the charity hospital at its northern end No Mercy Hospital si",annotator_2,overlap
Beloved (1987),Paul,33797,33801,character_reference,0.85,Paul,"vague smile on her lips. ""God damn it! Hush up!"" Paul D was shouting, falling, reaching for anchor. ""Le",annotator_2,overlap
Song of Solomon (1977),Solomon,561802,561809,character_reference,0.85,Solomon,kman's scalp began to tingle. Jay the only son of Solomon? Was that Jake the only son of Solomon? Jake. He,annotator_2,overlap
Song of Solomon (1977),Hagar,617654,617659,character_reference,0.7,Hagar,"e'd taken with him. But he returned with a box of Hagar's hair. She wouldn't set foot on an airplane, so",annotator_2,unique
Tar Baby (1981),lot,384734,384737,character_reference,0.7,Lot,"mebody who's not up to it, you sure bring it up a lot.” ""I know what's going to happen. I'll fall aslee",annotator_2,unique
Song of Solomon (1977),Ruth,587893,587897,thematic_reference,0.9,Ruth,"enty- dollar bills and put them down on the desk. Ruth didn't stretch out her hand to pick them up, or e",annotator_2,unique
Paradise (1998),lot,91769,91772,character_reference,0.7,Lot,"dren?"" Mavis could not speak. ""There used to be a lot of children here. This was a school once. A beaut",annotator_2,overlap
Song of Solomon (1977),Pilate,260332,260338,character_reference,0.7,Pilate,"not see him die, I seen him since he was shot."" ""Pilate. You all buried him yourselves."" Ruth spoke as if",annotator_2,unique
Beloved (1987),faith,487601,487606,thematic_reference,0.8,Faith,e between their breasts. Others brought Christian faith-as shield and sword. Most brought a little of bot,annotator_2,overlap
Paradise (1998),Grace,487522,487527,thematic_reference,0.8,Grace,"touched, glanced at, inquired after or named him. Grace called him Che and Consolata did not know to this",annotator_2,unique
Song of Solomon (1977),Babylon,404223,404230,character_reference,0.7,Babylon,"through Babylon, then humiliate us like whores in Babylon. Now he has knocked the ice out of Corinthians' h",annotator_2,overlap
Song of Solomon (1977),Solomon,385172,385179,character_reference,0.85,Solomon,ty cents so she just carried what was left of Mr. Solomon (she always called him Mr. Solomon cause he was s,annotator_2,overlap
Tar Baby (1981),Mary,206705,206709,character_reference,0.85,Mary,"ely back in her fingers. ""Mary. It must have been Mary.” Jadine laughed. “That was a publicity thing. Wh",annotator_2,unique
Song of Solomon (1977),Pilate,78688,78694,character_reference,0.7,Pilate,"already fallen in love with her behind. ""Hagar."" Pilate looked around the room. ""This here's your brother",annotator_2,overlap
Song of Solomon (1977),Pilate,586327,586333,character_reference,0.85,Pilate,"ourse he likes it. How can he not like it?"" asked Pilate. ""He likes silky hair."" Hagar was murmuring so lo",annotator_2,overlap
Song of Solomon (1977),Lot,23793,23796,character_reference,0.7,Lot,womenfolk nurse they kids a long time down South. Lot of 'em. But you don't see it much no more. I knew,annotator_2,overlap
Song of Solomon (1977),Hagar,167406,167411,character_reference,0.85,Hagar,"ss, and they did their best to satisfy every whim Hagar had. When he first took her in his arms, Hagar wa",annotator_2,overlap
Beloved (1987),Paul,417807,417811,character_reference,0.85,Paul,d his look of deeply felt hurt was enough to make Paul D blink. He was as hard on his pupils as he was o,annotator_2,unique
Beloved (1987),Paul,52070,52074,character_reference,0.85,Paul,The water running over their heads made it worse. Paul D sighed and turned over. Sethe took the opportun,annotator_2,unique
Song of Solomon (1977),Hagar,238591,238596,character_reference,0.85,Hagar,"rked, but did not move his arm nor open his eyes. Hagar raised the knife again, this time with both hands",annotator_2,overlap
Paradise (1998),job,395661,395664,thematic_reference,0.9,Job,'t come back till early this year to describe her job and write down her address. Since then Pat had se,annotator_2,overlap
Song of Solomon (1977),Solomon,561583,561590,character_reference,0.85,Solomon,"olomon's Leap, and now the children were singing ""Solomon don't leave me"" instead of ""Sugarman."" Even the n",annotator_2,overlap
Song of Solomon (1977),Pilate,570143,570149,character_reference,0.7,Pilate,girl. Pretty little black-skinned girl. What had Pilate done to her? Hadn't anybody told her the things s,annotator_2,overlap
A Mercy (2008),Judith,137357,137363,character_reference,0.85,Judith,"way or knelt by her bed. ""I'm already dead,"" said Judith. ""It's not so bad."" ""Don't tell her that. It's ho",annotator_2,overlap
Beloved (1987),Paul,227854,227858,character_reference,0.85,Paul,"he thought it explained Beloved's behavior around Paul D, whom she hated so. Denver neither believed nor",annotator_2,overlap
The Bluest Eye (1970),hope,13778,13782,thematic_reference,0.8,Hope,"just sensible. A steady worker with quiet ways. I hope it works out all right."" ""It will. How much you c",annotator_2,overlap
Tar Baby (1981),lot,210000,210003,character_reference,0.7,Lot,"s smiling at the same time. ""They must be worth a lot, then.” ""Quite a lot. Priceless."" ""Nothing's pric",annotator_2,overlap
Beloved (1987),Paul,428328,428332,character_reference,0.85,Paul,certain 225 schoolteacher has learned something. Paul D gets to the creek and it is as dry as Sixo prom,annotator_2,overlap
Song of Solomon (1977),Grace,539621,539626,thematic_reference,0.8,Grace,"Mr. Macon."" Milkman joined Susan Byrd in ignoring Grace Long. ""Where did she live?"" he asked her. ""The la",annotator_2,overlap
A Mercy (2008),Jacob,134827,134832,character_reference,0.85,Jacob,"de. ""What a man leaves behind is what a man is."" ""Jacob, a man is only his reputation."" ""Understand me.""",annotator_2,overlap
Song of Solomon (1977),Pilate,615950,615956,character_reference,0.85,Pilate,"I know what he meant. Come, let me tell you. And Pilate, those bones. They're not that white man's bones.",annotator_2,overlap
