novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context
Tar Baby (1981),Solomon,2034,2041,character_reference,0.7,Solomon,ALSO BY TONI MORRISON The Bluest Eye Sula Song of Solomon TAR BABY AF CALE Tar Baby Toni Morrison ALFRED A.
Tar Baby (1981),lot,55623,55626,character_reference,0.7,Lot,"ey shrugged. “Last time I saw him he ate a mighty lot of steak."" ""And fresh coconut cake. The whole cak"
Tar Baby (1981),hope,61632,61636,thematic_reference,0.8,Hope,"pocket for a toothpick. ""L'Arbe de la Croix."" ""I hope he's wrong."" Jadine laughed. Ondine entered, limp"
Tar Baby (1981),Mary,64153,64157,character_reference,0.85,Mary,"ty or special work to be done, he did not bring a Mary who, according to Sydney, might be his wife, his"
Tar Baby (1981),Mary,64431,64435,character_reference,0.85,Mary,her Greta Garbo hat. They all referred to her as Mary and couldn't ever be wrong about it because all t
Tar Baby (1981),Mary,64527,64531,character_reference,0.85,Mary,se all the baptized black women on the island had Mary among their names. Once in a while Yardman brough
Tar Baby (1981),Mary,64978,64982,character_reference,0.85,Mary,"dman sometimes ventured a comment or two, but the Mary and the small-boned girl never said anything at a"
Tar Baby (1981),Mary,65239,65243,character_reference,0.85,Mary,"to them constantly. Yardman answered her but the Mary never did except for a quiet ""Oui, madame"" if she"
Tar Baby (1981),Mary,65358,65362,character_reference,0.85,Mary,"Ondine tried, unsuccessfully, for months to get a Mary who would work inside... With no explicit refusal"
Tar Baby (1981),Mary,65443,65447,character_reference,0.85,Mary,"no explicit refusal or gen- eral explanation each Mary took the potatoes, the pot, the paper sack and th"
Tar Baby (1981),Mary,65694,65698,character_reference,0.85,Mary,"when, at her insistence, Yardman brought another Mary, she too took the pail of shrimp outside to shell"
Tar Baby (1981),acts,78638,78642,thematic_reference,0.9,Acts,", but any black girl who looks like me, talks and acts like me, what will happen when he finds out that"
Tar Baby (1981),lot,80188,80191,character_reference,0.7,Lot,se to spend it on. Nanadine and Sydney mattered a lot to her but what they thought did not. She had sou
Tar Baby (1981),hope,93353,93357,thematic_reference,0.8,Hope,ou always-except in sleep. So there was peace and hope on the face of this beautiful woman born to two o
Tar Baby (1981),Joseph,93431,93437,character_reference,0.85,Joseph,"utiful woman born to two ordinary-looking people, Joseph and Leonora Lordi, who had looked at their beauti"
Tar Baby (1981),mark,95938,95942,thematic_reference,0.9,Mark,tiny head of Margarette Lenore. Still it left its mark on her-being that pretty with that coloring. Joe
Tar Baby (1981),Joseph,97645,97651,character_reference,0.85,Joseph,lity of the minds (not the hearts) of Leonora and Joseph Lordi. So when she got married eight months out o
Tar Baby (1981),Rebecca,98694,98701,character_reference,0.7,Rebecca,ed at her and she stiffened like Joan Fontaine in Rebecca until she learned from her husband that his ex-wi
Tar Baby (1981),lot,101769,101772,character_reference,0.7,Lot,"e going to movies together, which hurt Margaret a lot because taking in a movie with Ondine was definit"
Tar Baby (1981),numbers,103250,103257,thematic_reference,0.9,Numbers,three . . . his little hand in hers repeating the numbers as they mounted each tread. No one would believe
Tar Baby (1981),hope,109579,109583,thematic_reference,0.8,Hope,"t, plain and fluffy,"" said Margaret. ""Well, let's hope that's what we get. Omelet's more likely in this"
Tar Baby (1981),job,109801,109804,thematic_reference,0.9,Job,"t may not be good for eggs, but it's doing a good job of souffléing my hair,"" said Jadine. ""I should ha"
Tar Baby (1981),Eve,112767,112770,character_reference,0.7,Eve,"'d like to come for the entire weekend. Christmas Eve, a dinner party; then breakfast, then some boatin"
Tar Baby (1981),hope,114997,115001,thematic_reference,0.8,Hope,"ghtness. ""She already knows for sure. The rest is hope and a deter- mination to irritate me."" ""Irritatin"
Tar Baby (1981),communion,120332,120341,thematic_reference,0.8,Communion,"Your what?"" ""My cross. The cross I wore. My first communion present. She said for me to take it off. That onl"
Tar Baby (1981),lot,123913,123916,character_reference,0.7,Lot,"That's not the point, whether I'm asked or not. A lot of life is outside and frequently it's the part t"
Tar Baby (1981),grace,127107,127112,thematic_reference,0.8,Grace,asn't like what he thought: all grits and natural grace. But he did make me want to apologize for what I
Tar Baby (1981),lot,139517,139520,character_reference,0.7,Lot,Valerian and it seemed to Jadine that there was a lot of space around his eyes. 4 BEES have no sting on
Tar Baby (1981),lot,146644,146647,character_reference,0.7,Lot,"t now that she was grown up, she was pretty and a lot of fun. All those colleges hadn't made her uppity"
Tar Baby (1981),Eve,155504,155507,character_reference,0.7,Eve,"ened the sheets. ""Now when is he due?"" ""Christmas Eve, I think. Just after Michael gets here."" ""You sur"
Tar Baby (1981),grace,161041,161046,thematic_reference,0.8,Grace,"know you."" It must have been that same an- tique grace that made him look at a raggedy black man who had"
Tar Baby (1981),grace,162918,162923,thematic_reference,0.8,Grace,"ore sipping it through a lump of sugar. More than grace, she thought, Valerian had courage. He could not"
Tar Baby (1981),job,169240,169243,thematic_reference,0.9,Job,a good man whom she trusted; a good and permanent job doing what she was good at for a boss who appreci
Tar Baby (1981),lot,171918,171921,character_reference,0.7,Lot,ot standing up for him. I just think he's a whole lot bet- ter than nobody and a little bit better than
Tar Baby (1981),lot,175090,175093,character_reference,0.7,Lot,"en I went in there this morning."" go- ""He drank a lot, Jadine says."" She reached in the oven and poked"
Tar Baby (1981),Jesus,180377,180382,character_reference,0.85,Jesus,"o his bed if he wanted it, collect his underwear (Jesus), call him sir, step aside if they met him in the"
Tar Baby (1981),Gideon,182387,182393,character_reference,0.7,Gideon,d attend to her own thoughts while she waited for Gideon to come by her. From the pocket of her dress she
Tar Baby (1981),Gideon,183132,183138,character_reference,0.7,Gideon,dier ants so clearly and why she was so eager for Gideon to finish with the hens and join her on some pret
Tar Baby (1981),Gideon,183755,183761,character_reference,0.7,Gideon,oorsill. She was sorry Alma could not come today. Gideon and she had a bet on how long the chocolate eater
