novel_title,allusion_text,start_pos,end_pos,allusion_type,confidence,biblical_source,context
Paradise (1998),Solomon,69,76,character_reference,0.85,Solomon,ORRISON The Bluest Eye (1970) Sula (1974) Song of Solomon (1977) Tar Baby (1981) Beloved (1987) Jazz (1992)
Paradise (1998),Jesus,12177,12182,character_reference,0.85,Jesus,"Christians—well, Catholics anyway-not a cross of Jesus anywhere. But what alarms the two men most is the"
Paradise (1998),Jordan,18211,18217,character_reference,0.85,Jordan,"amb, pepper rice, Lil Green, ""In the Dark,"" Louis Jordan and His Tympany Five; homemade beer and groundhog"
Paradise (1998),Esther,18550,18556,thematic_reference,0.9,Esther,"es were simply company: Ace's spotted horse, Miss Esther's ancient featherweight, all four of Nathan's plo"
Paradise (1998),Jesus,22445,22450,character_reference,0.85,Jesus,s new paint is the space where there used to be a Jesus. The brothers approaching the cellar were once id
Paradise (1998),Mary,37688,37692,character_reference,0.85,Mary,"ve the clover. Bodacious black Eves unredeemed by Mary, they are like pan- icked does leaping toward a s"
Paradise (1998),James,39154,39159,thematic_reference,0.9,James,arm around her mother's waist. Frankie and Billy James were squished together on her right. Sal pinched
Paradise (1998),James,40851,40856,thematic_reference,0.9,James,"for each and every one of you."" Frankie and Billy James looked down at their bare feet. Sal rested her he"
Paradise (1998),James,41815,41820,thematic_reference,0.9,James,"out back,"" said Frankie. ""Groundhog,"" said Billy James. ""Shut!"" Sal leaned over Mavis' stomach and point"
Paradise (1998),Mary,44374,44378,character_reference,0.7,Mary,neighborhood and could now be seen by anybody in Mary- land since the photographer had taken more shots
Paradise (1998),James,46749,46754,thematic_reference,0.9,James,"eliciting peals of laughter from Sal. When Billy James spit Kool-Aid into Mavis' plate, his father said,"
Paradise (1998),James,48989,48994,thematic_reference,0.9,James,"she knew, the signal-to Sal, to Frankie, to Billy James. The rest of the night she waited, not closing he"
Paradise (1998),lot,54435,54438,character_reference,0.7,Lot,"ons or dollars, m'am?"" ""Gallons."" In the adjacent lot, Mavis noticed the window of a breakfast diner re"
Paradise (1998),lot,64212,64215,character_reference,0.7,Lot,"e that touched her thighs. Outside in the parking lot, the girl ran to the Cadillac's passenger window"
